UNAC,TQBR,1000,0.0005
UNKL,TQBR,1,10.0
UPRO,TQBR,1000,0.001
URKA,TQBR,10,0.02
URKZ,TQBR,1,20.0
USBN,TQBR,10000,0.0001
UTAR,TQBR,100,0.01
UWGN,TQBR,1,0.1
VGSB,TQBR,1000,0.005
VGSBP,TQBR,1000,0.005
VJGZ,TQBR,1,1.0
VJGZP,TQBR,10,1.0
VLHZ,TQBR,10,0.05
VRSB,TQBR,10,0.2
VRSBP,TQBR,100,0.5
VSMO,TQBR,1,20.0
VSYD,TQBR,1,5.0
VSYDP,TQBR,1,20.0
VTBR,TQBR,10000,5e-06
VZRZ,TQBR,1,1.0
VZRZP,TQBR,10,0.2
WTCM,TQBR,100,0.02
WTCMP,TQBR,100,0.02
YAKG,TQBR,100,0.05
YKEN,TQBR,10000,0.0005
YKENP,TQBR,10000,0.0005
YNDX,TQBR,1,0.2
YRSB,TQBR,10,2.0
YRSBP,TQBR,10,0.5
ZILL,TQBR,1,5.0
ZVEZ,TQBR,1000,0.005
A_SPB,SPBXM,1,0.01
AA_SPB,SPBXM,1,0.01
AAL_SPB,SPBXM,1,0.01
AAN_SPB,SPBXM,1,0.01
AAON_SPB,SPBXM,1,0.01
AAP_SPB,SPBXM,1,0.01
AAPL_SPB,SPBXM,1,0.01
ABBV_SPB,SPBXM,1,0.01
ABC_SPB,SPBXM,1,0.01
ABG_SPB,SPBXM,1,0.01
ABMD_SPB,SPBXM,1,0.01
ABNB_SPB,SPBXM,1,0.01
ABT_SPB,SPBXM,1,0.01
ACAD_SPB,SPBXM,1,0.01
ACH_SPB,SPBXM,1,0.01
ACIW_SPB,SPBXM,1,0.01
ACM_SPB,SPBXM,1,0.01
ACMR_SPB,SPBXM,1,0.01
ACN_SPB,SPBXM,1,0.01
ADBE_SPB,SPBXM,1,0.01
ADI_SPB,SPBXM,1,0.01
ADM_SPB,SPBXM,1,0.01
ADP_SPB,SPBXM,1,0.01
ADPT_SPB,SPBXM,1,0.01
ADS_SPB,SPBXM,1,0.01
ADSK_SPB,SPBXM,1,0.01
ADUS_SPB,SPBXM,1,0.01
AEE_SPB,SPBXM,1,0.01
AEIS_SPB,SPBXM,1,0.01
AEO_SPB,SPBXM,1,0.01
AERI_SPB,SPBXM,1,0.01
AES_SPB,SPBXM,1,0.01
AFG_SPB,SPBXM,1,0.01
AFL_SPB,SPBXM,1,0.01
AGCO_SPB,SPBXM,1,0.01
AGIO_SPB,SPBXM,1,0.01
AIG_SPB,SPBXM,1,0.01
AIN_SPB,SPBXM,1,0.01
AIR_SPB,SPBXM,1,0.01
AIRC_SPB,SPBXM,1,0.01
AIT_SPB,SPBXM,1,0.01
AIV_SPB,SPBXM,1,0.01
AIZ_SPB,SPBXM,1,0.01
AJG_SPB,SPBXM,1,0.01
AJRD_SPB,SPBXM,1,0.01
AKAM_SPB,SPBXM,1,0.01
ALB_SPB,SPBXM,1,0.01
ALE_SPB,SPBXM,1,0.01
ALG_SPB,SPBXM,1,0.01
ALGN_SPB,SPBXM,1,0.01
ALGT_SPB,SPBXM,1,0.01
ALK_SPB,SPBXM,1,0.01
ALL_SPB,SPBXM,1,0.01
ALLE_SPB,SPBXM,1,0.01
ALLK_SPB,SPBXM,1,0.01
ALLO_SPB,SPBXM,1,0.01
ALLY_SPB,SPBXM,1,0.01
ALNY_SPB,SPBXM,1,0.01
ALRM_SPB,SPBXM,1,0.01
